item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13
4,4,4,5,4,5,5,5,5,5,4,5,5
5,4,5,5,5,5,4,4,5,5,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,4,4,5,5,5,5,4,4,5
4,4,5,5,5,5,5,5,5,5,5,4,5
5,4,5,3,4,5,4,3,5,5,5,5,4
4,4,4,4,4,4,5,4,5,4,4,4,4
4,4,4,4,4,5,5,5,5,5,5,5,5
4,4,5,4,4,5,5,5,5,5,4,4,4
5,4,4,4,4,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,4,4,5,5,5,4,5,5,4,5,5
5,5,5,4,4,5,5,5,5,5,5,3,5
4,4,4,4,5,5,5,5,4,5,4,4,4
5,4,5,5,5,5,4,4,5,5,5,5,5
4,4,4,5,4,4,4,4,5,5,4,4,4
5,5,5,5,5,5,4,3,4,4,4,4,4
4,4,4,4,5,4,4,2,4,4,5,4,4
4,4,5,4,3,4,3,5,5,5,5,5,5
5,5,5,5,4,4,5,5,5,5,4,4,5
5,5,5,5,5,4,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,4,4,5,4,5,4,4,3,3,3,2
4,4,4,4,5,5,4,4,4,4,4,5,5
5,5,5,5,5,5,5,5,4,5,5,5,5
5,4,4,4,4,4,4,4,5,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,5,4,4,4,4,5,5,4,4,4
4,4,5,4,4,5,5,4,5,5,4,4,4
4,4,4,4,3,4,4,4,5,4,4,5,4
4,4,4,4,4,5,5,5,4,4,4,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,5,5,5,5,5,5,5
