subject,time,response
s1,t1,22.9348695264089
s1,t2,38.4340583426568
s2,t1,10.8040182132782
s2,t2,18.1709754981826
s3,t1,33.2171058132119
s3,t2,37.8956941160113
s4,t1,24.8227786855067
s4,t2,41.6371334452602
s5,t1,34.026700612175
s5,t2,44.1753093373516
s6,t1,33.6112975501941
s6,t2,38.8072781612599
s7,t1,13.6500953810741
s7,t2,9.75413763873743
s8,t1,13.7635869190616
s8,t2,24.5646709057905
s9,t1,39.4596171647825
s9,t2,48.0939698171739
s10,t1,41.3881529132485
s10,t2,39.7885688630375
s11,t1,22.347329273922
s11,t2,33.5542593572302
s12,t1,19.7590323808549
s12,t2,33.3421651732657
s13,t1,33.6850782337927
s13,t2,31.8536268416988
s14,t1,16.7860927828221
s14,t2,34.0353088284454
s15,t1,19.56519925093
s15,t2,38.0948568690315
s16,t1,16.3476523897492
s16,t2,38.0193682952767
s17,t1,25.0866595675893
s17,t2,52.9755887206092
s18,t1,20.2148750807925
s18,t2,29.4063646019774
s19,t1,17.0095379592737
s19,t2,34.4503228046208
s20,t1,19.7963995087477
s20,t2,27.316034915524
s21,t1,36.2015342959261
s21,t2,43.9866712969206
s22,t1,16.8571598221032
s22,t2,33.5611234767074
s23,t1,36.6848950166403
s23,t2,42.2353680310147
s24,t1,34.0702603419141
s24,t2,40.5598050362142
s25,t1,21.9449318572665
s25,t2,36.6773315689963
s26,t1,23.6052048232649
s26,t2,27.1066616621584
s27,t1,29.6851129344915
s27,t2,36.2120518536098
s28,t1,23.9346993481738
s28,t2,33.5726140551609
s29,t1,6.52845691266078
s29,t2,16.0732973632056
s30,t1,34.2455492564465
s30,t2,42.39964009745
