subject,time,response
s1,t1,31.2823736850013
s1,t2,38.7845200315062
s1,t3,36.1213853395211
s1,t4,33.9066694030439
s2,t1,39.848025795054
s2,t2,37.9043525211565
s2,t3,41.8112439892524
s2,t4,45.9164242755835
s3,t1,24.268439412121
s3,t2,22.5054180318599
s3,t3,19.5388442575542
s3,t4,28.0204729637787
s4,t1,29.7706478869381
s4,t2,39.3565080697484
s4,t3,34.3430398056196
s4,t4,37.3348044207786
s5,t1,17.1145033506136
s5,t2,17.6470348136996
s5,t3,17.2865132509795
s5,t4,23.9533498548471
s6,t1,25.7671536051672
s6,t2,19.4811234434612
s6,t3,36.9322690150973
s6,t4,35.3614507872352
s7,t1,49.5727759628901
s7,t2,37.9577415413895
s7,t3,42.7751949750277
s7,t4,40.6492376969072
s8,t1,9.4785939498031
s8,t2,22.9032755946831
s8,t3,23.0020557328426
s8,t4,25.7559514462886
s9,t1,21.4657453996884
s9,t2,14.2532324829814
s9,t3,28.2352491256648
s9,t4,33.5151866793139
s10,t1,37.1693497913808
s10,t2,37.8036921299159
s10,t3,47.7172070432438
s10,t4,31.4539634957095
s11,t1,15.5325868908971
s11,t2,18.7739336338737
s11,t3,23.4644027501231
s11,t4,21.9822360935555
s12,t1,14.5157963680723
s12,t2,22.936339345891
s12,t3,12.0531872391925
s12,t4,28.2434587244945
s13,t1,43.2714996977974
s13,t2,35.6785838138205
s13,t3,39.1308460036493
s13,t4,38.6998023598481
s14,t1,16.5010776732581
s14,t2,6.883214709033
s14,t3,10.0384488370317
s14,t4,16.1354150570321
s15,t1,-3.41016964107096
s15,t2,-4.79656589136643
s15,t3,-0.245597148496031
s15,t4,-3.73748978992761
s16,t1,31.9014907750125
s16,t2,14.0614279255688
s16,t3,23.0259761832919
s16,t4,34.2891125461335
s17,t1,5.79370056334965
s17,t2,14.2546286414646
s17,t3,8.96301335525641
s17,t4,4.93540923962335
s18,t1,12.9325958580436
s18,t2,12.9791790130806
s18,t3,24.973296413086
s18,t4,19.9587613052358
s19,t1,15.1904226584126
s19,t2,17.5244903217357
s19,t3,17.6394158108864
s19,t4,16.5371965128697
s20,t1,13.066663646623
s20,t2,11.7492984545813
s20,t3,13.8356072054633
s20,t4,18.9387258354891
